,Company,Price Rs.,Day High Rs.,MoreDetail
0,Zen Technologies,265.45,274.6,https://ticker.finology.in/company/ZENTEC
1,Vaishali Pharma,182.65,184.4,https://ticker.finology.in/company/VAISHALI
2,Goyal Aluminiums,268.65,268.7,https://ticker.finology.in/company/GOYALALUM
3,Sky Gold,338.2,355,https://ticker.finology.in/company/SKYGOLD
4,Vesuvius India,1801.25,1858,https://ticker.finology.in/company/VESUVIUS
5,Career Point,169.7,179.9,https://ticker.finology.in/company/CAREERP
6,Krishana Phoschem,531.1,535.5,https://ticker.finology.in/company/KRISHANA
7,Fourth Dimension,37,37.05,https://ticker.finology.in/company/4THDIM
8,OK Play India,85.45,85.45,https://ticker.finology.in/company/SCRIP-126415
9,Shrem,105,105,https://ticker.finology.in/company/SHREMINVIT
10,Vinny Overseas,16,16,https://ticker.finology.in/company/VINNY
11,Taylormade Renewable,141.3,141.4,https://ticker.finology.in/company/SCRIP-288263
12,Suryalata Spg Mills,434.9,438,https://ticker.finology.in/company/SCRIP-114138
13,Perfect Infra,22.85,22.85,https://ticker.finology.in/company/PERFECT
14,Karnavati Finance,24.3,24.3,https://ticker.finology.in/company/SCRIP-231387
